,Variable,Type,Comment
1,V1,numeric,keep
2,VCF0009x,"weight for 1970 type 0,FTF",suspiciou
3,VCF0010x,"weight for 1970 type 1,FTF",suspiciou
4,VCF0011x,"weight for 1970 type2,FTF",suspiciou
5,VCF0009y,"weight for 1970 type0,Web",suspiciou
6,VCF0009z,"weight for 1970 type 0,full",suspiciou
7,VCF0010z,"weight for 1970 type 1,full",suspiciou
8,VCF0011z,"weight for 1970 type2,full",suspiciou
9,VCF0017,model of interview,removed
10,VCF0018a,interview language,keep
11,VCF0018b,interview language,removed
12,VCF0050a,level of political info pre,keep
13,VCF0050b,pro for above,removed
14,VCF0070a,gender interviewer,removed
15,VCF0071c,,
16,VCF0072a,,
17,VCF0102,,
18,VCF0104,,
19,VCF0106,,
20,VCF0108,,
21,VCF0110,,
22,VCF0112,,
23,VCF0113,,
24,VCF0114,,
25,VCF0118,,
26,VCF0127,,
27,VCF0128,,
28,VCF0130a,,
29,VCF0140,,
30,VCF0143,,
31,VCF0146,,
32,VCF0147,,
33,VCF0148a,,
34,VCF0149,,
35,VCF0156,,
36,VCF0157,,
37,VCF0209,,
38,VCF0210,,
39,VCF0211,,
40,VCF0212,,
41,VCF0218,,
42,VCF0223,,
43,VCF0224,,
44,VCF0227,,
45,VCF0228,,
46,VCF0232,,
47,VCF0233,,
48,VCF0253,,
49,VCF0290,,
50,VCF0291,,
51,VCF0303,,
52,VCF0305,,
53,VCF0310,,
54,VCF0346,,
55,VCF0349,,
56,VCF0358,,
57,VCF0359,,
58,VCF0360,,
59,VCF0361,,
60,VCF0370,,
61,VCF0371,,
62,VCF0372,,
63,VCF0373,,
64,VCF0374,,
65,VCF0380,,
66,VCF0386,,
67,VCF0392,,
68,VCF0412,,
69,VCF0413,,
70,VCF0414,,
71,VCF0415,,
72,VCF0424,,
73,VCF0425,,
74,VCF0426,,
75,VCF0427,,
76,VCF0428,,
77,VCF0450,,
78,VCF0475,,
79,VCF0481,,
80,VCF0487,,
81,VCF0493,,
82,VCF0501,,
83,VCF0502,,
84,VCF0503,,
85,VCF0504,,
86,VCF0605,,
87,VCF0606,,
88,VCF0609,,
89,VCF0613,,
90,VCF0624,,
91,VCF0648,,
92,VCF0649,,
93,VCF0656,,
94,VCF0700,,
95,VCF0702,,
96,VCF0703,,
97,VCF0704,,
98,VCF0705,,
99,VCF0707,,
100,VCF0708,,
101,VCF0709,,
102,VCF0710,,
103,VCF0712,,
104,VCF0713,,
105,VCF0714,,
106,VCF0717,,
107,VCF0718,,
108,VCF0719,,
109,VCF0720,,
110,VCF0721,,
111,VCF0723a,,
112,VCF0729,,
113,VCF0731,,
114,VCF0733,,
115,VCF0734,,
116,VCF0736,,
117,VCF0740,,
118,VCF0741,,
119,VCF0742,,
120,VCF0801,,
121,VCF0804,,
122,VCF0806,,
123,VCF0809,,
124,VCF0823,,
125,VCF0830,,
126,VCF0838,,
127,VCF0839,,
128,VCF0843,,
129,VCF0846,,
130,VCF0847,,
131,VCF0849,,
132,VCF0850,,
133,VCF0851,,
134,VCF0852,,
135,VCF0853,,
136,VCF0854,,
137,VCF0867,,
138,VCF0870,,
139,VCF0871,,
140,VCF0872,,
141,VCF0876,,
142,VCF0878,,
143,VCF0879a,,
144,VCF0880,,
145,VCF0881,,
146,VCF0886,,
147,VCF0887,,
148,VCF0888,,
149,VCF0890,,
150,VCF0894,,
151,VCF0904,,
152,VCF0905,,
153,VCF0991,,
154,VCF0992,,
155,VCF1004,,
156,VCF1005,,
157,VCF1011,,
158,VCF1012,,
159,VCF1013,,
160,VCF1014,,
161,VCF9005,,
162,VCF9009,,
163,VCF9013,,
164,VCF9016,,
165,VCF9017,,
166,VCF9018,,
167,VCF9021,,
168,VCF9022,,
169,VCF9023,,
170,VCF9025,,
171,VCF9027,,
172,VCF9028,,
173,VCF9029,,
174,VCF9030a,,
175,VCF9030b,,
176,VCF9030c,,
177,VCF9031,,
178,VCF9032,,
179,VCF9039,,
180,VCF9040,,
181,VCF9041,,
182,VCF9042,,
183,VCF9045,,
184,VCF9047,,
185,VCF9048,,
186,VCF9049,,
187,VCF9054,,
188,VCF9069,,
189,VCF9081,,
190,VCF9084,,
191,VCF9085,,
192,VCF9086,,
193,VCF9087,,
194,VCF9088,,
195,VCF9089,,
196,VCF9092,,
197,VCF9093,,
198,VCF9094,,
199,VCF9095,,
200,VCF9096,,
201,VCF9122,,
202,VCF9131,,
203,VCF9132,,
204,VCF9133,,
205,VCF9201,,
206,VCF9202,,
207,VCF9203,,
208,VCF9204,,
209,VCF9205,,
210,VCF9206,,
211,VCF9207,,
212,VCF9208,,
213,VCF9209,,
214,VCF9210,,
215,VCF9211,,
216,VCF9212,,
217,VCF9213,,
218,VCF9214,,
219,VCF9215,,
220,VCF9216,,
221,VCF9217,,
222,VCF9218,,
223,VCF9219,,
224,VCF9220,,
225,VCF9221,,
226,VCF9222,,
227,VCF9223,,
228,VCF9224,,
229,VCF9225,,
230,VCF9226,,
231,VCF9227,,
232,VCF9228,,
233,VCF9229,,
234,VCF9230,,
235,VCF9231,,
236,VCF9232,,
237,VCF9233,,
238,VCF9234,,
239,VCF9235,,
240,VCF9236,,
241,VCF9237,,
242,VCF9238,,
243,VCF9239,,
244,VCF9240,,
245,VCF9241,,
246,VCF9242,,
247,VCF9243,,
248,VCF9244,,
249,VCF9245,,
250,VCF9246,,
251,VCF9247,,
252,VCF9248,,
253,VCF9249,,
254,VCF9250,,
255,VCF9251,,
256,VCF9252,,
257,VCF9253,,
258,VCF9255,,
259,VCF9256,,
260,VCF9257,,
261,VCF9258,,
262,VCF9259,,
263,VCF9260,,
264,VCF9261,,
265,VCF9262,,
266,VCF9263,,
267,VCF9264,,
268,VCF9265,,
269,VCF9266,,
270,VCF9267,,
271,VCF9268,,
272,VCF9269,,
273,VCF9270,,
274,VCF9271,,
275,VCF9272,,
276,VCF9273,,
277,VCF9275,,
278,VCF9277,,
279,VCF9278,,
280,VCF9279,,
281,VCF9280,,
282,VCF9281,,
283,VCF9282,,
